id,repository_name,date(YYY-MM-DDThh-mm-ss),run_time(second),count_files,loc
hishamhm/htop,hishamhm/htop,2023-11-21T21-12-19,12.02429617200005,164,20356
hlldz/Phant0m,hlldz/Phant0m,2023-11-21T21-12-31,0.4134214719999818,8,1288
hmgle/graftcp,hmgle/graftcp,2023-11-21T21-12-31,0.7804765250000401,9,2608
hnes/libaco,hnes/libaco,2023-11-21T21-12-32,1.1766439230000287,12,2062
holzschu/a-shell,holzschu/a-shell,2023-11-21T21-12-33,99.3107948070001,1304,1225541
hpjansson/chafa,hpjansson/chafa,2023-11-21T21-14-13,10.535040826,122,61266
htacg/tidy-html5,htacg/tidy-html5,2023-11-21T21-14-23,5.541801299999975,70,60491
htop-dev/htop,htop-dev/htop,2023-11-21T21-14-29,27.591822176999926,264,40876
huangz1990/annotated_redis_source,huangz1990/annotated_redis_source,2023-11-21T21-14-56,19.803468987000088,230,90793
huggingface/neuralcoref,huggingface/neuralcoref,2023-11-21T21-15-16,1.576751075000061,27,7830
hydradatabase/hydra,hydradatabase/hydra,2023-11-21T21-15-18,11.007827240000095,195,49201
HyperDbg/HyperDbg,HyperDbg/HyperDbg,2023-11-21T21-15-29,14.525422432000028,284,93567
hzqst/VmwareHardenedLoader,hzqst/VmwareHardenedLoader,2023-11-21T21-15-43,12.98327386899996,186,74837
IAIK/meltdown,IAIK/meltdown,2023-11-21T21-15-56,0.882464777999985,10,1143
IanHarvey/bluepy,IanHarvey/bluepy,2023-11-21T21-15-57,4.678044646999979,70,34312
ibireme/yyjson,ibireme/yyjson,2023-11-21T21-16-02,2.5625354430000016,23,36402
icholy/ttygif,icholy/ttygif,2023-11-21T21-16-04,0.5791856890000417,8,735
id-Software/DOOM,id-Software/DOOM,2023-11-21T21-16-05,9.451964984000028,132,56666
id-Software/Quake-2,id-Software/Quake-2,2023-11-21T21-16-14,29.87831134800001,264,174070
id-Software/Quake-III-Arena,id-Software/Quake-III-Arena,2023-11-21T21-16-44,72.12290561400005,756,414007
id-Software/quake2-rerelease-dll,id-Software/quake2-rerelease-dll,2023-11-21T21-17-56,33.430082301000084,329,220511
igraph/igraph,igraph/igraph,2023-11-21T21-18-30,100.92980591200012,1637,412248
iliasam/OpenSimpleLidar,iliasam/OpenSimpleLidar,2023-11-21T21-20-11,10.799212077999982,190,120941
ImageMagick/ImageMagick,ImageMagick/ImageMagick,2023-11-21T21-20-22,32.4183578589998,647,527209
imbushuo/mac-precision-touchpad,imbushuo/mac-precision-touchpad,2023-11-21T21-20-54,3.8239509560000897,74,13755
immortalwrt/immortalwrt,immortalwrt/immortalwrt,2023-11-21T21-20-58,49.14233649800008,732,343198
ImVexed/muon,ImVexed/muon,2023-11-21T21-21-47,0.8209904310001548,14,3385
iNavFlight/inav,iNavFlight/inav,2023-11-21T21-21-48,142.80954753800006,2679,2035334
inspektor-gadget/inspektor-gadget,inspektor-gadget/inspektor-gadget,2023-11-21T21-24-11,6.476725509000062,93,291434
IoLanguage/io,IoLanguage/io,2023-11-21T21-24-17,20.385141384000008,232,59864
ionescu007/SimpleVisor,ionescu007/SimpleVisor,2023-11-21T21-24-37,0.558362537999983,11,3394
iovisor/bcc,iovisor/bcc,2023-11-21T21-24-38,22.77809916799993,273,860026
iPlug2/iPlug2,iPlug2/iPlug2,2023-11-21T21-25-01,43.74319778900008,616,306289
iqiyi/xHook,iqiyi/xHook,2023-11-21T21-25-44,1.4725871110001665,21,3894
ireader/media-server,ireader/media-server,2023-11-21T21-25-46,27.402977930999896,439,70563
isometimes/rpi4-osdev,isometimes/rpi4-osdev,2023-11-21T21-26-13,10.28838265599984,212,28736
ithewei/libhv,ithewei/libhv,2023-11-21T21-26-24,14.206914851999954,202,42863
itm4n/PrintSpoofer,itm4n/PrintSpoofer,2023-11-21T21-26-38,0.3132243469999594,4,8738
ivmai/bdwgc,ivmai/bdwgc,2023-11-21T21-26-38,6.250840598999957,101,56815
jacksonliam/mjpg-streamer,jacksonliam/mjpg-streamer,2023-11-21T21-26-44,11.071801639000114,117,44139
jakehilborn/displayplacer,jakehilborn/displayplacer,2023-11-21T21-26-55,0.7211801449998347,12,1490
jarikomppa/soloud,jarikomppa/soloud,2023-11-21T21-26-56,7.296711511000012,79,167438
jart/blink,jart/blink,2023-11-21T21-27-04,22.23446454300006,351,94108
jart/cosmopolitan,jart/cosmopolitan,2023-11-21T21-27-26,312.6829401310001,6302,1942783
jarun/nnn,jarun/nnn,2023-11-21T21-32-38,2.0959422740002083,10,14163
jbush001/NyuziProcessor,jbush001/NyuziProcessor,2023-11-21T21-32-41,22.46106794299999,348,121129
jdah/minecraft-weekend,jdah/minecraft-weekend,2023-11-21T21-33-03,13.591296135999984,116,41267
jech/polipo,jech/polipo,2023-11-21T21-33-17,5.852893605999952,54,24977
jedisct1/dsvpn,jedisct1/dsvpn,2023-11-21T21-33-22,0.4862953100000595,6,1639
jedisct1/libsodium,jedisct1/libsodium,2023-11-21T21-33-23,22.886723404999884,351,58427
jemalloc/jemalloc,jemalloc/jemalloc,2023-11-21T21-33-46,16.614997400999982,348,83578
jeremycw/httpserver.h,jeremycw/httpserver.h,2023-11-21T21-34-02,2.2197059659999923,31,8323
jerryscript-project/iotjs,jerryscript-project/iotjs,2023-11-21T21-34-05,8.589943371000118,155,26033
jerryscript-project/jerryscript,jerryscript-project/jerryscript,2023-11-21T21-34-13,34.914864666000085,595,189368
jgaeddert/liquid-dsp,jgaeddert/liquid-dsp,2023-11-21T21-34-48,79.55860057900009,921,178340
jgamblin/Mirai-Source-Code,jgamblin/Mirai-Source-Code,2023-11-21T21-36-08,3.713849131000188,41,9872
jgarff/rpi_ws281x,jgarff/rpi_ws281x,2023-11-21T21-36-11,1.0405480629997328,15,3801
jhawthorn/fzy,jhawthorn/fzy,2023-11-21T21-36-12,1.9993967519999387,27,4666
jjgod/mac-dictionary-kit,jjgod/mac-dictionary-kit,2023-11-21T21-36-14,3.0978805880004074,68,8978
jmcnamara/libxlsxwriter,jmcnamara/libxlsxwriter,2023-11-21T21-36-18,62.308524731000034,1073,111669
joan2937/pigpio,joan2937/pigpio,2023-11-21T21-37-20,3.3498110629998337,30,38540
JoeDog/siege,JoeDog/siege,2023-11-21T21-37-23,5.9061135500001,76,18443
johnxnguyen/Down,johnxnguyen/Down,2023-11-21T21-37-29,3.388464603000102,36,21881
jonas/tig,jonas/tig,2023-11-21T21-37-33,6.94145342999991,91,43970
jonasmr/microprofile,jonasmr/microprofile,2023-11-21T21-37-39,4.120628680999744,31,80821
joncampbell123/dosbox-x,joncampbell123/dosbox-x,2023-11-21T21-37-44,265.3455026060001,3710,1833669
jonls/redshift,jonls/redshift,2023-11-21T21-42-09,2.9049963229999776,35,6364
jordansissel/xdotool,jordansissel/xdotool,2023-11-21T21-42-12,5.854367144000207,54,8296
joyent/libuv,joyent/libuv,2023-11-21T21-42-18,19.869383556999765,240,71784
jp9000/OBS,jp9000/OBS,2023-11-21T21-42-38,30.130397844000072,325,479672
jpmens/jo,jpmens/jo,2023-11-21T21-43-08,0.9816962590002732,5,2562
jqlang/jq,jqlang/jq,2023-11-21T21-43-09,7.254083909000201,75,46360
jtesta/ssh-mitm,jtesta/ssh-mitm,2023-11-21T21-43-16,108.25801639199972,1431,560558
